Well / Set	Group	Efficiency	target C(t)	target expression	Actin C(t)	Actin  expression	relative expression
A11	Neg control	66.83%	29.52	348.7996175	36.09	3.661777906	95.25417063
A12	Pos control	55.01%	34.39	11.90507128	18.51	722417.071	1.64795E-05
B11	Oyster	108.59%	23.7	19749.67712	19.9	275498.983	0.071686933
B12	Dabob	57.88%	32.88	33.92688604	29.05	483.2145469	0.070210813
C11	Oyster	95.86%	27.49	1425.646985	23.83	18046.95768	0.078996527
C12	Dabob	39.68%	34.79	9.020944274	24.03	15709.55923	0.000574233
D11	Oyster	105.80%	26.46	2912.379732	30.28	205.9036285	14.14438275
D12	Dabob	105.45%	24.86	8834.215721	28.24	847.4459334	10.42451839
E11	Oyster	138.86%	24.04	15600.98431	30.9	133.9429933	116.4748071
E12	Dabob	85.56%	26.39	3057.257366	29.44	368.6990342	8.292013491
F11	Oyster	131.16%	23.57	21613.04711	30.36	194.7906021	110.9552867
F12	Dabob	100.86%	25.33	6376.817677	22.05	62021.17646	0.10281678
G11	Neg control	69.58%	28.98	507.2522709	34.34	12.32514394	41.15589021
G12	Neg control	40.43%	32.74	37.38625811	33.88	16.95680399	2.204793907
H11	Neg control	22.65%	35.72	4.732994502	38.82	0.551335554	8.584598735
H12	Neg control	28.78%	33.7	19.21144359	N/A	0	0
